hand_value,is_soft,dealer_upcard,can_double,action,estimated_value,visits
10,False,5,True,DOUBLE,0.482657,1355
10,False,6,False,HIT,0.340314,382
10,False,6,False,STAND,0.045455,44
10,False,6,True,HIT,0.250000,108
10,False,6,True,STAND,-0.139785,93
10,False,6,True,DOUBLE,0.544582,1458
10,False,7,False,HIT,0.194521,365
10,False,7,False,STAND,-0.368421,57
10,False,7,True,HIT,0.153061,98
10,False,7,True,STAND,-0.474576,118
10,False,7,True,DOUBLE,0.391144,1355
10,False,8,False,HIT,0.200000,290
10,False,8,False,STAND,-0.593220,118
10,False,8,True,HIT,0.191450,538
10,False,8,True,STAND,-0.559633,109
10,False,8,True,DOUBLE,0.277419,930
10,False,9,False,HIT,0.149171,362
10,False,9,False,STAND,-0.541667,48
10,False,9,True,HIT,0.013216,1362
10,False,9,True,STAND,-0.447619,105
10,False,9,True,DOUBLE,0.000000,121
10,False,10,False,HIT,-0.063930,1486
10,False,10,False,STAND,-0.506024,166
10,False,10,True,HIT,-0.097076,5336
10,False,10,True,STAND,-0.559242,422
10,False,10,True,DOUBLE,-0.155116,606
11,False,1,False,HIT,-0.237132,544
11,False,1,False,STAND,-0.728814,59
11,False,1,True,HIT,-0.250483,1553
11,False,1,True,STAND,-0.792000,125
11,False,1,True,DOUBLE,-0.517647,170
11,False,2,False,HIT,0.224206,504
11,False,2,False,STAND,-0.200000,95
11,False,2,True,HIT,0.286765,136
11,False,2,True,STAND,-0.243243,111
11,False,2,True,DOUBLE,0.472982,1573
11,False,3,False,HIT,0.260521,499
11,False,3,False,STAND,-0.142857,70
11,False,3,True,HIT,0.243478,115
11,False,3,True,STAND,-0.344828,116
11,False,3,True,DOUBLE,0.526384,1535
11,False,4,False,HIT,0.256098,492
11,False,4,False,STAND,-0.428571,63
11,False,4,True,HIT,0.252688,186
11,False,4,True,STAND,-0.225225,111
11,False,4,True,DOUBLE,0.608696,1587
11,False,5,False,HIT,0.396104,462
11,False,5,False,STAND,-0.154930,71
11,False,5,True,HIT,0.397661,513
11,False,5,True,STAND,-0.284672,137
11,False,5,True,DOUBLE,0.608696,1104
11,False,6,False,HIT,0.382979,517
11,False,6,False,STAND,-0.321429,56
11,False,6,True,HIT,0.226562,128
11,False,6,True,STAND,-0.272727,121
11,False,6,True,DOUBLE,0.680796,1557
11,False,7,False,HIT,0.287072,526
11,False,7,False,STAND,-0.640000,50
11,False,7,True,HIT,0.112245,98
11,False,7,True,STAND,-0.462069,145
11,False,7,True,DOUBLE,0.450794,1575
11,False,8,False,HIT,0.159259,540
11,False,8,False,STAND,-0.595238,84
11,False,8,True,HIT,0.180115,1388
11,False,8,True,STAND,-0.484375,128
11,False,8,True,DOUBLE,0.342508,327
11,False,9,False,HIT,0.082437,558
11,False,9,False,STAND,-0.534247,73
11,False,9,True,HIT,0.172436,1560
11,False,9,True,STAND,-0.426230,122
11,False,9,True,DOUBLE,0.163934,122
11,False,10,False,HIT,0.015493,2130
11,False,10,False,STAND,-0.601810,221
11,False,10,True,HIT,-0.009086,5943
11,False,10,True,STAND,-0.546185,498
11,False,10,True,DOUBLE,-0.104634,669
12,False,1,False,HIT,-0.587382,1585
12,False,1,False,STAND,-0.720000,250
12,False,1,True,HIT,-0.602426,2968
12,False,1,True,STAND,-0.787879,264
12,False,1,True,DOUBLE,-1.310345,232
12,False,2,False,HIT,-0.253488,1720
12,False,2,False,STAND,-0.310000,200
12,False,2,True,HIT,-0.260413,2761
12,False,2,True,STAND,-0.418182,220
12,False,2,True,DOUBLE,-0.361446,415
12,False,3,False,HIT,-0.188082,1611
12,False,3,False,STAND,-0.316872,243
12,False,3,True,HIT,-0.225899,2780
12,False,3,True,STAND,-0.253333,225
12,False,3,True,DOUBLE,-0.422287,341
12,False,4,False,HIT,-0.370968,186
12,False,4,False,STAND,-0.222154,1625
12,False,4,True,HIT,-0.302326,258
12,False,4,True,STAND,-0.209175,2921
12,False,4,True,DOUBLE,-0.522124,226
12,False,5,False,HIT,-0.180760,1632
12,False,5,False,STAND,-0.241026,195
12,False,5,True,HIT,-0.199396,331
12,False,5,True,STAND,-0.153254,2858
12,False,5,True,DOUBLE,-0.340807,223
12,False,6,False,HIT,-0.119369,444
12,False,6,False,STAND,-0.110294,1360
12,False,6,True,HIT,-0.161064,2856
12,False,6,True,STAND,-0.244813,241
12,False,6,True,DOUBLE,-0.325424,295
